Customer,KGM,CBM,CusLat,CusLong,Beginning1,Ending1,DwellTime,AllowedTrucks,Depot,DepotLat,DepotLong,DOW,Beginning2,Ending2,HUs
70012430,2009.108,15.587,10.31486357,123.8920974,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70012890,22.272,0.037000000000000005,10.30956454,123.8936955,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70012891,22.7,0.039,10.3410758,123.9118636,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70012907,282.24,0.561,10.32414991,123.9257324,8:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,2
70012918,25.28,0.045,10.31566949,123.9241934,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70012920,146.896,0.307,10.3355742,123.9391432,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70012922,20.736,0.036,10.36215255,123.9487583,8:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,2
70012923,7.224,0.014,10.33551788,123.9392186,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70012924,62.184000000000005,0.15100000000000002,10.3098377,123.9182846,8:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,2
70012935,148.452,0.43300000000000005,10.31788734,123.9249415,8:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,2
70082252,57.774,0.106,10.31248723,123.955422,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70082254,115.728,0.211,10.34112538,123.9483442,8:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,2
70086569,125.69900000000001,0.421,10.30050516,123.9638132,8:00,17:00,0.45,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,2
70089387,67.872,0.121,10.25803981,123.9486987,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70089406,10.704,0.02,10.3394575,123.9246318,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70130947,19.112000000000002,0.036000000000000004,10.36966191,123.9183403,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70135374,132.0,0.0,10.32330597,123.9310662,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70382288,1423.5839999999998,3.0069999999999997,10.31275246,123.8947265,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70385954,33.408,0.082,10.35657953,123.9500282,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70438306,574.0,7.0,10.31660753,123.9009904,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
70482687,173.067,0.721,10.28445441,123.9658781,8:00,17:00,0.35,"{AUV, 4w, 6w, 10w, 40ft}",2513,10.31595846,123.9334502,Wednesday,,,1
